,video_id,title,views,likes,comments,duration_minutes,publish_time_hours
0,fb7tBDWfvTs,The Jeffree Star PETS Brand Reveal!!! 🐶,1402709,53228.0,5677.0,14.43,22.5
1,_4cLcPPMNWA,Top Mexican Makeup Artists Do My Makeup,1000546,45774.0,4286.0,24.88,23.5
2,LnoEaI6Y2ec,My SECRET Black VAULT Closet Tour,1497358,66047.0,5093.0,14.57,22.5
3,gsA6_yLOaoI,Recreating My Old MYSPACE Photos 🖤 WEIRDO Collection & Halloween Mystery Box REVEAL!,1421699,58866.0,5211.0,20.95,20.5
4,g7yKe_W_nRY,Finding Our Makeup at a CLEARANCE STORE!,2512511,99644.0,7387.0,13.2,21.5
5,eoXL1IOVWGc,Pricked 🧡 Palette & Collection Reveal! | Jeffree Star Cosmetics,1461170,62699.0,6458.0,22.4,22.5
6,woTb_oAHl2g,Pink Religion 💖 Palette & Collection Reveal! | Jeffree Star Cosmetics,2465651,102636.0,13081.0,24.73,22.5
7,iKZaw4wFaZI,Addressing My Mental Health.. Selling My House and Getting Help,4207412,189535.0,29550.0,25.6,22.5
8,sI6EhfwnbhE,The TRUTH About My Car Accident.,3009034,93796.0,12546.0,32.47,22.5
9,XiU2YQgysGI,My Best Friend SURVIVED Cancer… 3 Times,1666720,53021.0,6723.0,20.7,22.95
10,BtHhKiQgdeM,KVD Good Apple Foundation… Is It Jeffree Star Approved?!,3147244,96145.0,10333.0,25.08,22.5
11,jVBb0lpxxrY,F**k Proof Mascara by Jeffree Star Cosmetics,1869743,85984.0,8339.0,9.83,1.85
12,AKBF-jeOlD8,Saying Goodbye...,5651567,131425.0,22645.0,11.4,5.05
13,rsPo__w7r70,Cavity Palette 🦷 & Blood Sugar Anniversary Collection! | Jeffree Star Cosmetics,2047365,72705.0,9844.0,20.93,23.48
14,sZvFH15H270,E.L.F. Mint Melt Makeup.. Is It Jeffree Star Approved?!,2690549,102568.0,9150.0,26.67,23.5
15,BgLLwyXn0CU,SUPREME GLOSS by Jeffree Star Cosmetics | Reveal & Swatches!,1732863,65486.0,7699.0,14.93,23.5
16,Yu5y0N6ZtQo,"I Got CANCELLED Again.. So I Had A $200,000 Shopping Spree!",3641295,131218.0,,16.92,0.5
17,4oEwYP1nR6I,Meet My NEW Pomeranian Puppy! 🐶 Lucky Number 7!,2792098,91155.0,12615.0,15.22,23.5
18,jyihlY9lMrM,$68 GUCCI Foundation… Is It Jeffree Star Approved?!,2615763,102759.0,,21.4,23.5
19,umkuHGNTKs8,Addressing The Kanye Situation,10648191,383358.0,35188.0,23.87,2.73
20,RfcY3J6CjgQ,Swatching EVERY Liquid Lipstick I’ve EVER Made,3040519,96290.0,14355.0,46.48,23.5
